year,player,Tm,mp,g,TS%,USG%,AST%,TRB%,STL%,BLK%,TOV%,OWS,DWS,WS
2023,Arike Ogunbowale,DAL,1489,40,0.518,0.262,0.201,0.051,2.3,0.2,0.114,3.2,1.0,4.2
2023,Alyssa Thomas,CON,1446,40,0.52,0.23,0.37799999999999995,0.163,2.6,1.2,0.187,2.8,3.3,6.1
2023,Breanna Stewart,NYL,1365,40,0.585,0.275,0.195,0.155,2.2,3.8,0.069,7.0,3.3,10.3
2023,Kelsey Mitchell,IND,1349,40,0.58,0.239,0.16399999999999998,0.028999999999999998,1.4,0.1,0.128,3.4,-0.1,3.3
2023,Jewell Loyd,SEA,1344,38,0.524,0.33,0.20199999999999999,0.075,1.4,1.0,0.106,2.6,0.8,3.4
2023,Ezi Magbegor,SEA,1304,40,0.576,0.19399999999999998,0.14800000000000002,0.14,1.7,4.8,0.165,1.8,2.0,3.8
2023,Natasha Howard,DAL,1289,39,0.536,0.231,0.126,0.138,1.9,3.1,0.154,2.0,1.7,3.7
2023,Chelsea Gray,LVA,1288,40,0.603,0.212,0.34,0.071,2.2,1.6,0.166,4.6,2.3,7.0
2023,Rhyne Howard,ATL,1283,39,0.516,0.251,0.19399999999999998,0.084,2.0,1.7,0.102,1.6,1.9,3.5
2023,Kelsey Plum,LVA,1265,39,0.618,0.239,0.218,0.043,1.7,0.0,0.122,4.7,1.6,6.3
2023,Jackie Young,LVA,1259,40,0.657,0.21600000000000003,0.187,0.07400000000000001,2.0,0.3,0.11599999999999999,5.5,2.0,7.5
2023,Satou Sabally,DAL,1258,38,0.562,0.248,0.215,0.139,2.7,1.1,0.149,4.2,1.7,5.9
2023,Brittney Sykes,WAS,1252,40,0.54,0.25,0.22699999999999998,0.09300000000000001,3.4,1.0,0.14,1.5,2.4,3.9
2023,Aliyah Boston,IND,1249,40,0.619,0.19399999999999998,0.127,0.163,2.2,3.6,0.138,4.5,1.5,6.0
2023,Allisha Gray,ATL,1244,38,0.578,0.222,0.17300000000000001,0.084,1.6,1.0,0.11199999999999999,3.5,1.4,5.0
